alexnet_original_1_conv,0.063 s,,vgg16_original_1_conv,0.247 s,,resnet50_original_1,0.138 s,,conv2d_1,0.047 s,,yolo_original_1_conv,0.113 s,,c3d_original_1_conv,1.695 s
alexnet_original_2_conv,0.057 s,,vgg16_original_2_conv,1.273 s,,resnet50_original_2a_conv,0.037 s,,conv2d_2,0.164 s,,yolo_original_2_conv,0.166 s,,c3d_original_2_conv,7.036 s
alexnet_original_3_conv,0.024 s,,vgg16_original_3_conv,0.505 s,,resnet50_original_2b_conv,0.084 s,,separable_conv2d_1,0.173 s,,yolo_original_3_conv,0.134 s,,c3d_original_3_conv,2.809 s
alexnet_original_4_conv,0.034 s,,vgg16_original_4_conv,0.918 s,,resnet50_original_2c_conv,0.076 s,,separable_conv2d_2,0.303 s,,yolo_original_4_conv,0.056 s,,c3d_original_4_conv,5.567 s
alexnet_original_5_conv,0.025 s,,vgg16_original_5_conv,0.403 s,,resnet50_original_2s_conv,0.077 s,,conv2d_3,0.089 s,,yolo_original_5_conv,0.132 s,,c3d_original_5_conv,1.252 s
,,,vgg16_original_6_conv,0.766 s,,resnet50_original_3a_conv,0.100 s,,separable_conv2d_3,0.112 s,,yolo_original_6_conv,0.116 s,,c3d_original_6_conv,2.477 s
alexnet_channel_1_conv_0,0.047 s,,vgg16_original_7_conv,0.768 s,,resnet50_original_3b_conv,0.083 s,,separable_conv2d_4,0.199 s,,yolo_original_7_conv,0.039 s,,c3d_original_7_conv,0.400 s
alexnet_channel_1_conv_1,0.046 s,,vgg16_original_8_conv,0.373 s,,resnet50_original_3c_conv,0.077 s,,conv2d_4,0.057 s,,yolo_original_8_conv,0.115 s,,c3d_original_8_conv,0.394 s
alexnet_channel_1_conv_2,0.047 s,,vgg16_original_9_conv,0.700 s,,resnet50_original_4a_conv,0.102 s,,separable_conv2d_5,0.118 s,,yolo_original_9_conv,0.117 s,,,
alexnet_channel_2_conv_0,0.029 s,,vgg16_original_10_conv,0.702 s,,resnet50_original_4b_conv,0.084 s,,separable_conv2d_6,0.266 s,,yolo_original_10_conv,0.025 s,,,
alexnet_channel_2_conv_1,0.031 s,,vgg16_original_11_conv,0.210 s,,resnet50_original_4c_conv,0.075 s,,conv2d_5,0.049 s,,yolo_original_11_conv,0.117 s,,,
alexnet_channel_2_conv_2,0.029 s,,vgg16_original_12_conv,0.211 s,,resnet50_original_5a_conv,0.085 s,,separable_conv2d_7,0.082 s,,yolo_original_12_conv,0.030 s,,,
alexnet_channel_3_conv_0,0.013 s,,vgg16_original_13_conv,0.211 s,,resnet50_original_5b_conv,0.070 s,,separable_conv2d_8,0.081 s,,yolo_original_13_conv,0.118 s,,,
alexnet_channel_3_conv_1,0.011 s,,,,,resnet50_original_5c_conv,0.048 s,,separable_conv2d_9,0.082 s,,yolo_original_14_conv,0.141 s,,,
alexnet_channel_3_conv_2,0.012 s,,vgg16_channel_1_conv_0,0.135 s,,resnet50_original_5s_conv,0.129 s,,separable_conv2d_10,0.081 s,,yolo_original_15_conv,0.023 s,,,
alexnet_channel_4_conv_0,0.016 s,,vgg16_channel_1_conv_1,0.136 s,,resnet50_original_6a_conv,0.064 s,,separable_conv2d_11,0.081 s,,yolo_original_16_conv,0.141 s,,,
alexnet_channel_4_conv_1,0.015 s,,vgg16_channel_1_conv_2,0.137 s,,resnet50_original_6b_conv,0.067 s,,separable_conv2d_12,0.081 s,,yolo_original_17_conv,0.024 s,,,
alexnet_channel_4_conv_2,0.016 s,,vgg16_channel_2_conv_0,0.793 s,,resnet50_original_6c_conv,0.052 s,,separable_conv2d_13,0.081 s,,yolo_original_18_conv,0.139 s,,,
alexnet_channel_5_conv_0,0.013 s,,vgg16_channel_2_conv_1,0.784 s,,resnet50_original_7a_conv,0.067 s,,separable_conv2d_14,0.081 s,,yolo_original_21_conv,0.016 s,,,
alexnet_channel_5_conv_1,0.015 s,,vgg16_channel_2_conv_2,0.806 s,,resnet50_original_7b_conv,0.065 s,,separable_conv2d_15,0.082 s,,yolo_original_19_conv,0.274 s,,,
alexnet_channel_5_conv_2,0.014 s,,vgg16_channel_3_conv_0,0.274 s,,resnet50_original_7c_conv,0.048 s,,separable_conv2d_16,0.082 s,,yolo_original_20_conv,0.275 s,,,
,,,vgg16_channel_3_conv_1,0.276 s,,resnet50_original_8a_conv,0.064 s,,separable_conv2d_17,0.083 s,,yolo_original_22_conv,0.344 s,,,
alexnet_spatial_1_conv,0.012 s,,vgg16_channel_3_conv_2,0.264 s,,resnet50_original_8b_conv,0.066 s,,separable_conv2d_18,0.082 s,,yolo_original_23_conv,0.151 s,,,
alexnet_spatial_2_conv,0.011 s,,vgg16_channel_4_conv_0,0.505 s,,resnet50_original_8c_conv,0.051 s,,separable_conv2d_19,0.082 s,,,,,,
alexnet_spatial_3_conv,0.010 s,,vgg16_channel_4_conv_1,0.504 s,,resnet50_original_9a_conv,0.053 s,,separable_conv2d_20,0.082 s,,,,,,
alexnet_spatial_4_conv,0.013 s,,vgg16_channel_4_conv_2,0.492 s,,resnet50_original_9b_conv,0.061 s,,separable_conv2d_21,0.081 s,,,,,,
alexnet_spatial_5_conv,0.013 s,,vgg16_channel_5_conv_0,0.186 s,,resnet50_original_9c_conv,0.051 s,,separable_conv2d_22,0.081 s,,,,,,
,,,vgg16_channel_5_conv_1,0.187 s,,resnet50_original_9s_conv,0.103 s,,separable_conv2d_23,0.081 s,,,,,,
alexnet_filter_1_conv_0,0.026 s,,vgg16_channel_5_conv_2,0.191 s,,resnet50_original_10a_conv,0.044 s,,separable_conv2d_24,0.082 s,,,,,,
alexnet_filter_1_conv_1,0.030 s,,vgg16_channel_6_conv_0,0.358 s,,resnet50_original_10b_conv,0.059 s,,separable_conv2d_25,0.081 s,,,,,,
alexnet_filter_1_conv_2,0.031 s,,vgg16_channel_6_conv_1,0.358 s,,resnet50_original_10c_conv,0.043 s,,separable_conv2d_26,0.081 s,,,,,,
alexnet_filter_2_conv_0,0.025 s,,vgg16_channel_6_conv_2,0.360 s,,resnet50_original_11a_conv,0.051 s,,separable_conv2d_27,0.081 s,,,,,,
alexnet_filter_2_conv_1,0.022 s,,vgg16_channel_7_conv_0,0.355 s,,resnet50_original_11b_conv,0.061 s,,separable_conv2d_28,0.081 s,,,,,,
alexnet_filter_2_conv_2,0.025 s,,vgg16_channel_7_conv_1,0.357 s,,resnet50_original_11c_conv,0.051 s,,separable_conv2d_29,0.082 s,,,,,,
alexnet_filter_3_conv_0,0.012 s,,vgg16_channel_7_conv_2,0.365 s,,resnet50_original_12a_conv,0.050 s,,separable_conv2d_30,0.082 s,,,,,,
alexnet_filter_3_conv_1,0.014 s,,vgg16_channel_8_conv_0,0.149 s,,resnet50_original_12b_conv,0.063 s,,separable_conv2d_31,0.081 s,,,,,,
alexnet_filter_3_conv_2,0.015 s,,vgg16_channel_8_conv_1,0.150 s,,resnet50_original_12c_conv,0.052 s,,separable_conv2d_32,0.108 s,,,,,,
alexnet_filter_4_conv_0,0.017 s,,vgg16_channel_8_conv_2,0.154 s,,resnet50_original_13a_conv,0.054 s,,conv2d_6,0.040 s,,,,,,
alexnet_filter_4_conv_1,0.017 s,,vgg16_channel_9_conv_0,0.284 s,,resnet50_original_13b_conv,0.063 s,,separable_conv2d_33,0.070 s,,,,,,
alexnet_filter_4_conv_2,0.013 s,,vgg16_channel_9_conv_1,0.287 s,,resnet50_original_13c_conv,0.055 s,,separable_conv2d_34,0.119 s,,,,,,
alexnet_filter_5_conv_0,0.013 s,,vgg16_channel_9_conv_2,0.283 s,,resnet50_original_14a_conv,0.047 s,,,,,,,,,
alexnet_filter_5_conv_1,0.014 s,,vgg16_channel_10_conv_0,0.286 s,,resnet50_original_14b_conv,0.063 s,,conv2d_1,0.048 s,,,,,,
alexnet_filter_5_conv_2,0.014 s,,vgg16_channel_10_conv_1,0.284 s,,resnet50_original_14c_conv,0.048 s,,conv2d_2,0.166 s,,,,,,
,,,vgg16_channel_10_conv_2,0.288 s,,resnet50_original_15a_conv,0.040 s,,xception_filter_2_dconv_0,0.030 s,,,,,,
,,,vgg16_channel_11_conv_0,0.081 s,,resnet50_original_15b_conv,0.068 s,,xception_filter_2_dconv_1,0.030 s,,,,,,
,,,vgg16_channel_11_conv_1,0.087 s,,resnet50_original_15c_conv,0.042 s,,xception_filter_2_dconv_2,0.046 s,,,,,,
,,,vgg16_channel_11_conv_2,0.083 s,,resnet50_original_15s_conv,0.083 s,,xception_filter_2_1x1_conv_0,0.080 s,,,,,,
,,,vgg16_channel_12_conv_0,0.081 s,,resnet50_original_16a_conv,0.040 s,,xception_filter_2_1x1_conv_1,0.079 s,,,,,,
,,,vgg16_channel_12_conv_1,0.082 s,,resnet50_original_16b_conv,0.068 s,,xception_filter_2_1x1_conv_2,0.080 s,,,,,,
,,,vgg16_channel_12_conv_2,0.080 s,,resnet50_original_16c_conv,0.040 s,,xception_filter_3_dconv_0,0.080 s,,,,,,
,,,vgg16_channel_13_conv_0,0.082 s,,resnet50_original_17a_conv,0.041 s,,xception_filter_3_dconv_1,0.053 s,,,,,,
,,,vgg16_channel_13_conv_1,0.082 s,,resnet50_original_17b_conv,0.069 s,,xception_filter_3_dconv_2,0.082 s,,,,,,
,,,vgg16_channel_13_conv_2,0.080 s,,resnet50_original_17c_conv,0.039 s,,xception_filter_3_1x1_conv_0,0.108 s,,,,,,
,,,,,,,,,xception_filter_3_1x1_conv_1,0.119 s,,,,,,
,,,vgg16_spatial_1_conv,0.037 s,,resnet50_channel_1,0.134 s,,xception_filter_3_1x1_conv_2,0.111 s,,,,,,
,,,vgg16_spatial_2_conv,0.146 s,,resnet50_channel_2a_conv_0,0.025 s,,xception_filter_1_conv,0.090 s,,,,,,
,,,vgg16_spatial_3_conv,0.062 s,,resnet50_channel_2a_conv_1,0.027 s,,xception_filter_5_dconv_0,0.023 s,,,,,,
,,,vgg16_spatial_4_conv,0.111 s,,resnet50_channel_2a_conv_2,0.029 s,,xception_filter_5_dconv_1,0.021 s,,,,,,
,,,vgg16_spatial_5_conv,0.053 s,,resnet50_channel_2v_conv_0,0.055 s,,xception_filter_5_dconv_2,0.024 s,,,,,,
,,,vgg16_spatial_6_conv,0.095 s,,resnet50_channel_2v_conv_1,0.056 s,,xception_filter_5_1x1_conv_0,0.053 s,,,,,,
,,,vgg16_spatial_7_conv,0.092 s,,resnet50_channel_2v_conv_2,0.060 s,,xception_filter_5_1x1_conv_1,0.059 s,,,,,,
,,,vgg16_spatial_8_conv,0.062 s,,resnet50_channel_2c_conv_0,0.043 s,,xception_filter_5_1x1_conv_2,0.057 s,,,,,,
,,,vgg16_spatial_9_conv,0.113 s,,resnet50_channel_2c_conv_1,0.043 s,,xception_filter_6_dconv_0,0.040 s,,,,,,
,,,vgg16_spatial_10_conv,0.109 s,,resnet50_channel_2c_conv_2,0.043 s,,xception_filter_6_dconv_1,0.044 s,,,,,,
,,,vgg16_spatial_11_conv,0.076 s,,resnet50_channel_2s_conv_0,0.044 s,,xception_filter_6_dconv_2,0.026 s,,,,,,
,,,vgg16_spatial_12_conv,0.080 s,,resnet50_channel_2s_conv_1,0.044 s,,xception_filter_6_1x1_conv_0,0.077 s,,,,,,
,,,vgg16_spatial_13_conv,0.077 s,,resnet50_channel_2s_conv_2,0.044 s,,xception_filter_6_1x1_conv_1,0.077 s,,,,,,
,,,,,,resnet50_channel_3a_conv_0,0.084 s,,xception_filter_6_1x1_conv_2,0.080 s,,,,,,
,,,vgg16_filter_1_conv_0,0.155 s,,resnet50_channel_3a_conv_1,0.082 s,,xception_filter_4_conv,0.059 s,,,,,,
,,,vgg16_filter_1_conv_1,0.154 s,,resnet50_channel_3a_conv_2,0.083 s,,xception_filter_8_dconv_0,0.012 s,,,,,,
,,,vgg16_filter_1_conv_2,0.184 s,,resnet50_channel_3b_conv_0,0.054 s,,xception_filter_8_dconv_1,0.011 s,,,,,,
,,,vgg16_filter_2_conv_0,0.534 s,,resnet50_channel_3b_conv_1,0.056 s,,xception_filter_8_dconv_2,0.012 s,,,,,,
,,,vgg16_filter_2_conv_1,0.538 s,,resnet50_channel_3b_conv_2,0.060 s,,xception_filter_8_1x1_conv_0,0.060 s,,,,,,
,,,vgg16_filter_2_conv_2,0.589 s,,resnet50_channel_3c_conv_0,0.042 s,,xception_filter_8_1x1_conv_1,0.044 s,,,,,,
,,,vgg16_filter_3_conv_0,0.210 s,,resnet50_channel_3c_conv_1,0.043 s,,xception_filter_8_1x1_conv_2,0.058 s,,,,,,
,,,vgg16_filter_3_conv_1,0.210 s,,resnet50_channel_3c_conv_2,0.043 s,,xception_filter_9_dconv_0,0.034 s,,,,,,
,,,vgg16_filter_3_conv_2,0.233 s,,resnet50_channel_4a_conv_0,0.084 s,,xception_filter_9_dconv_1,0.029 s,,,,,,
,,,vgg16_filter_4_conv_0,0.365 s,,resnet50_channel_4a_conv_1,0.083 s,,xception_filter_9_dconv_2,0.033 s,,,,,,
,,,vgg16_filter_4_conv_1,0.365 s,,resnet50_channel_4a_conv_2,0.084 s,,xception_filter_9_1x1_conv_0,0.104 s,,,,,,
,,,vgg16_filter_4_conv_2,0.354 s,,resnet50_channel_4b_conv_0,0.056 s,,xception_filter_9_1x1_conv_1,0.105 s,,,,,,
,,,vgg16_filter_5_conv_0,0.157 s,,resnet50_channel_4b_conv_1,0.056 s,,xception_filter_9_1x1_conv_2,0.104 s,,,,,,
,,,vgg16_filter_5_conv_1,0.161 s,,resnet50_channel_4b_conv_2,0.056 s,,xception_filter_7_conv,0.051 s,,,,,,
,,,vgg16_filter_5_conv_2,0.166 s,,resnet50_channel_4c_conv_0,0.044 s,,xception_filter_10_dconv_0,0.008 s,,,,,,
,,,vgg16_filter_6_conv_0,0.283 s,,resnet50_channel_4c_conv_1,0.041 s,,xception_filter_10_dconv_1,0.008 s,,,,,,
,,,vgg16_filter_6_conv_1,0.283 s,,resnet50_channel_4c_conv_2,0.043 s,,xception_filter_10_dconv_2,0.008 s,,,,,,
,,,vgg16_filter_6_conv_2,0.295 s,,resnet50_channel_5a_conv_0,0.078 s,,xception_filter_10_1x1_conv_0,0.030 s,,,,,,
,,,vgg16_filter_7_conv_0,0.281 s,,resnet50_channel_5a_conv_1,0.074 s,,xception_filter_10_1x1_conv_1,0.032 s,,,,,,
,,,vgg16_filter_7_conv_1,0.281 s,,resnet50_channel_5a_conv_2,0.075 s,,xception_filter_10_1x1_conv_2,0.040 s,,,,,,
,,,vgg16_filter_7_conv_2,0.291 s,,resnet50_channel_5v_conv_0,0.040 s,,xception_filter_11_dconv_0,0.008 s,,,,,,
,,,vgg16_filter_8_conv_0,0.142 s,,resnet50_channel_5v_conv_1,0.038 s,,xception_filter_11_dconv_1,0.008 s,,,,,,
,,,vgg16_filter_8_conv_1,0.146 s,,resnet50_channel_5v_conv_2,0.038 s,,xception_filter_11_dconv_2,0.009 s,,,,,,
,,,vgg16_filter_8_conv_2,0.146 s,,resnet50_channel_5c_conv_0,0.024 s,,xception_filter_11_1x1_conv_0,0.035 s,,,,,,
,,,vgg16_filter_9_conv_0,0.250 s,,resnet50_channel_5c_conv_1,0.026 s,,xception_filter_11_1x1_conv_1,0.029 s,,,,,,
,,,vgg16_filter_9_conv_1,0.247 s,,resnet50_channel_5c_conv_2,0.027 s,,xception_filter_11_1x1_conv_2,0.030 s,,,,,,
,,,vgg16_filter_9_conv_2,0.247 s,,resnet50_channel_5s_conv_0,0.092 s,,xception_filter_12_dconv_0,0.008 s,,,,,,
,,,vgg16_filter_10_conv_0,0.247 s,,resnet50_channel_5s_conv_1,0.093 s,,xception_filter_12_dconv_1,0.008 s,,,,,,
,,,vgg16_filter_10_conv_1,0.251 s,,resnet50_channel_5s_conv_2,0.092 s,,xception_filter_12_dconv_2,0.008 s,,,,,,
